"day","match","clicks","impressions","cost","avgpos","qualityscore","conv"
"2013-11-07","Broad",0,16,0,1.8,5,0
"2013-10-22","Broad",0,1,0,2,7,0
"2013-11-05","Broad",8,58,6.92,1.6,7,0
"2013-10-21","Exact",0,1,0,2,6,0
"2013-11-12","Phrase",0,2,0,1,6,0
"2013-10-17","Broad",0,2,0,4.5,6,0
"2013-10-20","Broad",7,191,5.35,4.2,6,0
"2013-11-08","Phrase",0,3,0,1.3,6,0
"2013-10-28","Broad",0,13,0,4,6,0
"2013-10-22","Broad",1,25,0.55,2.5,3,0
"2013-10-26","Broad",0,4,0,7,6,0
"2013-10-16","Phrase",1,3,1.25,1,7,0
"2013-11-10","Broad",0,1,0,2,10,0
"2013-11-10","Broad",0,5,0,1.2,6,0
"2013-10-28","Exact",0,1,0,3,8,0
"2013-11-08","Exact",10,188,7.33,1.2,4,0
"2013-11-05","Broad",0,17,0,4.4,6,0
"2013-10-30","Phrase",0,9,0,1.1,5,0
"2013-10-19","Phrase",0,8,0,2.1,3,0
"2013-10-21","Phrase",0,3,0,1,7,0
"2013-10-16","Broad",0,3,0,2.3,6,0
"2013-10-23","Broad",0,2,0,2,6,0
"2013-10-18","Broad",0,4,0,4,6,0
"2013-10-14","Phrase",0,3,0,3.3,6,0
"2013-11-11","Broad",0,29,0,4.2,7,0
"2013-10-21","Phrase",0,1,0,1,9,0
"2013-10-17","Broad",2,40,1.58,3.8,7,0
"2013-10-20","Phrase",0,1,0,2,6,0
"2013-11-06","Phrase",0,4,0,2.3,6,0
"2013-11-05","Broad",0,12,0,4.5,7,0
"2013-11-06","Phrase",0,3,0,1.3,2,0
"2013-11-12","Phrase",0,1,0,2,2,0
"2013-11-05","Broad",0,2,0,2.5,8,0
"2013-11-04","Phrase",0,9,0,1.6,3,0
"2013-10-31","Broad",2,37,1.55,3.3,4,0
"2013-11-04","Broad",1,25,0.71,4,7,0
"2013-11-05","Phrase",1,1,0.75,1,6,0
"2013-10-25","Exact",1,1,0.29,1,7,0
"2013-10-22","Broad",0,33,0,2.7,4,0
"2013-10-30","Broad",0,36,0,4.7,5,0
"2013-11-12","Broad",0,3,0,1,6,0
"2013-10-19","Broad",0,1,0,3,6,0
"2013-10-30","Exact",0,3,0,1,7,0
"2013-10-17","Phrase",0,2,0,1,6,0
"2013-10-18","Phrase",0,2,0,4,7,0
"2013-11-06","Exact",0,11,0,1.1,3,0
"2013-11-05","Broad",0,1,0,2,6,0
"2013-10-14","Broad",0,30,0,2.7,7,0
"2013-10-20","Phrase",0,1,0,2,7,0
"2013-11-04","Broad",0,2,0,3,6,0
"2013-11-11","Exact",0,1,0,1,9,0
"2013-11-09","Broad",0,12,0,3.8,7,0
"2013-11-03","Broad",3,60,2.63,2.2,7,0
"2013-11-11","Broad",2,23,1.53,1.9,7,0
"2013-11-12","Broad",1,5,0.96,2.6,6,0
"2013-11-08","Broad",0,2,0,2.5,6,0
"2013-10-18","Exact",0,7,0,1.3,3,0
"2013-11-06","Broad",2,32,2.85,1.9,6,0
"2013-10-23","Broad",0,3,0,1,7,0
"2013-10-29","Broad",0,13,0,4.8,6,0
"2013-11-04","Broad",2,28,1.48,2.7,4,0
"2013-10-17","Broad",0,2,0,2,7,0
"2013-10-24","Broad",1,26,0.8,1.9,3,0
"2013-10-25","Broad",1,29,0.51,1.8,3,0
"2013-10-25","Phrase",0,17,0,1.4,3,0
"2013-11-05","Broad",0,62,0,3.9,4,0
"2013-10-18","Broad",0,6,0,2.3,4,0
"2013-10-27","Phrase",0,1,0,3,6,0
"2013-10-21","Phrase",0,7,0,1.6,5,0
"2013-10-14","Broad",0,1,0,1,4,0
"2013-11-04","Phrase",0,3,0,1,7,0
"2013-10-20","Broad",0,13,0,3,7,0
"2013-10-31","Broad",0,24,0,2.6,5,0
"2013-10-30","Broad",0,5,0,5,6,0
"2013-11-02","Broad",1,13,0.9,2.2,4,0
"2013-10-22","Broad",1,1,0.53,1,7,0
"2013-11-01","Phrase",0,1,0,8,3,0
"2013-10-26","Phrase",0,1,0,1,4,0
"2013-11-05","Broad",0,1,0,5,4,0
"2013-10-30","Broad",0,2,0,1.5,7,0
"2013-10-24","Broad",0,30,0,3.4,7,0
"2013-11-12","Exact",6,189,4.97,1.2,4,0
"2013-11-03","Broad",0,27,0,2.6,7,0
"2013-10-19","Exact",0,1,0,1,7,0
"2013-11-07","Phrase",0,1,0,9,6,0
"2013-10-24","Exact",0,1,0,1,7,0
"2013-10-21","Broad",1,36,0.82,2.6,4,0
"2013-10-21","Exact",0,1,0,3,6,0
"2013-11-09","Broad",3,33,2.04,1.7,7,0
"2013-11-06","Broad",0,5,0,1.8,6,0
"2013-10-30","Broad",1,4,0.72,3,6,0
"2013-10-17","Exact",0,3,0,2,6,0
"2013-10-26","Broad",0,1,0,1,7,0
"2013-11-02","Phrase",0,1,0,2,7,0
"2013-10-21","Exact",0,1,0,5,5,0
"2013-10-24","Broad",0,31,0,2,6,0
"2013-11-02","Broad",0,2,0,1,7,0
"2013-11-09","Broad",0,9,0,2.8,5,0
"2013-11-01","Broad",0,1,0,1,7,0
"2013-10-22","Exact",0,3,0,1,4,0
"2013-10-24","Broad",0,4,0,5,5,0
"2013-10-23","Broad",0,37,0,4.4,5,0
"2013-10-23","Broad",1,7,0.51,1.1,6,0
"2013-11-05","Phrase",0,1,0,1,6,0
"2013-10-14","Broad",0,13,0,1.5,4,0
"2013-10-17","Broad",0,1,0,5,3,0
"2013-11-07","Phrase",0,9,0,1.3,4,0
"2013-10-29","Broad",0,1,0,1,8,0
"2013-11-05","Phrase",0,1,0,3,7,0
"2013-10-29","Broad",0,3,0,3,6,0
"2013-10-28","Broad",1,48,0.54,2,7,0
"2013-10-20","Phrase",0,13,0,1.5,5,0
"2013-10-20","Exact",0,1,0,1,4,0
"2013-11-09","Broad",0,2,0,1.5,4,0
"2013-11-06","Broad",0,2,0,1.5,7,0
"2013-10-28","Broad",0,16,0,3.4,6,0
"2013-10-26","Broad",0,1,0,3,6,0
"2013-11-08","Broad",0,13,0,2.3,10,0
"2013-11-03","Broad",6,166,4.17,4.5,6,0
"2013-11-01","Broad",0,3,0,1,6,0
"2013-10-14","Broad",0,3,0,1.7,4,0
"2013-11-06","Broad",0,1,0,2,5,0
"2013-10-24","Exact",0,6,0,1,4,0
"2013-10-30","Broad",0,5,0,3.6,4,0
"2013-11-02","Phrase",0,1,0,3,6,0
"2013-11-07","Phrase",1,8,0.82,1.5,6,0
"2013-11-01","Broad",0,1,0,3,3,0
"2013-11-08","Broad",0,17,0,4.6,7,0
"2013-10-18","Broad",2,25,1.95,1.9,6,0
"2013-10-24","Broad",0,2,0,7,6,0
"2013-10-22","Broad",0,1,0,4,5,0
"2013-11-05","Broad",2,53,1.17,2.5,4,0
"2013-10-31","Broad",0,5,0,2,7,0
"2013-10-30","Broad",2,25,2.12,2.2,7,0
"2013-10-16","Exact",3,22,1.33,1.3,6,0
"2013-10-31","Broad",0,2,0,1.5,4,0
"2013-10-15","Broad",0,1,0,1,8,0
"2013-10-15","Broad",0,35,0,2.2,5,0
"2013-10-23","Broad",0,2,0,2.5,6,0
"2013-10-29","Phrase",0,1,0,2,6,0
"2013-10-25","Phrase",0,1,0,3,7,0
"2013-11-08","Broad",1,25,1.45,2.6,6,0
"2013-10-18","Phrase",0,5,0,2.6,4,0
"2013-10-21","Broad",0,4,0,5.3,7,0
"2013-10-21","Phrase",1,59,0.81,2.6,4,0
"2013-11-03","Broad",0,1,0,2,6,0
"2013-10-24","Broad",0,1,0,1,4,0
"2013-11-10","Broad",0,5,0,1,6,0
"2013-10-17","Phrase",0,1,0,3,6,0
"2013-10-30","Broad",0,6,0,2,7,0
"2013-11-06","Broad",1,14,0.76,2.2,4,0
"2013-10-18","Phrase",0,2,0,3,6,0
"2013-11-01","Exact",0,2,0,1,4,0
"2013-11-08","Phrase",0,1,0,1,7,0
"2013-10-20","Broad",0,1,0,3,10,0
"2013-10-15","Broad",0,5,0,4.6,6,0
"2013-11-07","Broad",0,11,0,4.2,6,0
"2013-10-16","Phrase",0,4,0,5.8,6,0
"2013-11-04","Broad",0,5,0,3.4,6,0
"2013-11-05","Broad",0,10,0,4.2,6,0
"2013-10-14","Broad",1,3,0.97,3.7,6,0
"2013-10-21","Exact",0,1,0,1,6,0
"2013-10-21","Broad",0,15,0,4.7,6,0
"2013-10-20","Phrase",0,1,0,6,7,0
"2013-10-31","Broad",0,1,0,3,8,0
"2013-10-25","Broad",1,32,0.52,3.5,7,0
"2013-11-09","Broad",2,31,1.06,5.6,6,0
"2013-10-24","Phrase",0,2,0,2.5,6,0
"2013-10-22","Broad",0,10,0,2.6,7,0
"2013-10-28","Broad",0,13,0,3.2,6,0
"2013-11-02","Phrase",0,2,0,2,4,0
"2013-10-18","Broad",0,3,0,7,4,0
"2013-10-24","Broad",1,7,1.48,3,6,0
"2013-10-28","Broad",0,4,0,1.3,4,0
"2013-11-02","Broad",4,51,3.3,2.3,7,0
"2013-11-04","Broad",3,10,2.18,1.8,7,0
"2013-10-30","Phrase",0,2,0,1,6,0
"2013-11-08","Exact",0,4,0,1,7,0
"2013-11-11","Phrase",0,1,0,2,4,0
